Annotation,PDE4D,PDE4DIP,PDE4A,PDE4B,PDE4C
MTMR7,0.36047720961658397,0.34705397397526544,0.38028565306862216,0.42542143026975693,0.40947387288562626
KLHL21,0.37253499497801645,0.6140276269951047,0.16288018702147145,0.42003099482686795,0.3017452569030418
GPR63,-0.1617982782188344,0.1728017011084147,0.21036695746814957,-0.5361989956656295,0.19123192453959176
DUSP3,0.03100342282568271,0.2594470972413089,-0.2163096148235913,-0.23136923089402261,0.233396038772703
PIK3R2,-0.14542396712178543,-0.16500479410442231,0.3794628664929357,-0.18403234047752104,-0.4641720669492715
PLSCR4,0.7579942550474451,0.5234972802499402,0.31815291708265814,0.6953917404647247,0.13248126946828848
SNORD141A,0.04721206517912944,-0.09770960522754205,0.44449596497667837,-0.002118656514155189,0.403789637248563
LOC101927751,0.1254078138923342,0.46111190491255877,-0.010560324639242842,0.268510471388512,0.09645223958327744
ARHGEF40,0.03749346489233164,0.040206969714221164,-0.39986296051745795,0.03343647183416768,-0.180718011224613
LINC00854,0.38929939149080073,-0.0773042611886244,0.12299608931355019,0.4716979291402922,0.7763857234481768
TGFBR1,-0.23740801487590008,0.1515210063109461,-0.3384846805306788,-0.40660786984358405,-0.2400305564015915
